Exam_1,Exam_2,Exam_3,Exam_4,Exam_5,Exam_6,Attendance (%),Study Hours,Activity Hours,Stress Level,Future Marks
74.50511309591386,94.17778681387098,80.7679577596323,83.81529668706332,93.33185785127507,79.11921648559185,90.15,7.45,1.02,3.22,84.82679057986475
35.421477270710085,41.54547202672318,31.431838707192384,47.44321941012133,30.0,30.0,55.4,1.63,2.94,5.69,30.0
79.48946192880194,68.78804579048331,72.71667623727825,71.99090775000862,81.31242440324657,81.50877962591974,56.38,9.13,3.36,9.08,58.330486007449586
51.19312257380153,69.63142918856988,68.68033859088374,77.32352991821338,75.0427982423078,59.514600659278955,85.43,2.93,0.2,2.81,81.82589283546936
70.99748668910524,77.078849527225,65.56034638557375,72.21861228662586,62.753872894773146,58.5735493932363,77.18,7.41,1.05,7.05,41.87417277431659
83.22586197497472,82.30044064891217,67.07231533715266,78.74341713579612,72.8399759546803,80.34722036829265,73.12,9.47,2.43,5.16,63.20465249572945
76.48477900779655,88.14377075060108,90.16304332053983,85.42639363860673,85.68733509651274,96.14702363115556,88.13,8.5,1.74,9.03,100.0
67.53974785334013,83.69675138505664,87.96030931452324,83.84038482539869,73.65239245451403,98.7534236496321,72.37,8.11,3.09,2.02,100.0
45.58216063148999,30.0,36.48820638425981,48.32452014097537,30.0,30.0,63.87,5.5,0.8,4.07,30.0
38.13882115897921,48.41922247586869,57.21507158349574,55.57801724393801,51.936150365186364,59.752324413082796,54.51,6.45,0.45,9.63,84.56039405890098
50.09348481356805,73.1418390088785,71.75003577365896,60.06636430044763,53.474109989620466,56.62279181464727,92.5,8.62,1.78,8.49,72.26380783218005
56.002570447731514,30.0,48.5412122611842,49.923153935401125,46.686703076457924,41.76373143201352,56.68,1.43,3.88,6.14,30.0
39.50101173423763,56.10820612888172,63.027924238126715,41.29102899890471,43.663238035544936,51.73851864957865,89.17,3.42,3.49,1.01,75.25497545572233
43.0500823764003,54.4846817330658,44.23546203022218,57.27505457806348,56.06588801774739,44.36298037955859,60.34,6.89,2.08,2.62,51.91342278749957
66.41537497255845,68.66991078954558,79.33084344785223,72.58008114365406,85.88312315762458,81.42647805102807,95.9,9.21,3.69,2.78,94.4495023188133
61.78544396019171,64.66526213303548,52.95800563996451,64.9139870775891,36.339649156950586,52.240083734224484,72.18,2.54,4.37,7.34,30.0
67.03777034710761,55.963730818731996,52.26485299113592,46.28388179778703,47.01571230506369,54.79514660355427,70.98,3.85,0.18,2.23,38.98945504989412
82.5376276216817,71.9974913363255,83.68652062367353,76.16349587409907,67.7853947073918,73.10577360692446,98.61,2.38,3.67,1.0,51.02829226246805
84.32368178109152,81.30599497005944,91.07398056699103,80.78287653282582,77.99776887196003,61.267669940998765,63.18,4.21,0.81,5.4,30.0
44.86750086571231,32.69260983490847,36.25916970946863,47.69803683227783,33.67636867017769,44.580334396582074,95.48,1.16,2.79,8.09,52.45227080649699
83.52831135350608,83.34127862731302,92.82753441917755,95.88528516306995,84.18612951978005,87.5437268181495,92.97,6.35,1.68,8.34,87.64712956934098
61.06601433978291,60.03452501242968,52.38599646295371,44.262486933116975,45.36507440509599,54.240139413359934,79.69,7.95,4.14,2.53,39.1183608282966
44.49364457290612,40.6553475816631,61.48324965110774,30.0,30.0,34.85527839438831,69.66,4.49,1.43,3.42,30.0
38.14575160356329,30.0,30.0,30.15105552903527,30.0,31.12681206154966,88.8,8.18,2.69,3.79,32.825075844858674
56.9815537010334,56.90683560932678,58.9209159817749,60.255253806853055,70.69121404627307,76.78612866210248,67.39,5.68,3.28,4.77,94.33776434496882
